Species	Status	min_age	max_age
Lasiurus_intermedius	extant	0.012	0.3
Tadarida_brasiliensis	extant	0.012	0.3
Chiroptera	extant	0.012	0.3
Chiroptera	extant	0.3	1.8
Chiroptera	extant	0.3	1.8
Lasiurus	extant	0.3	1.8
Pipistrellus_subflavus	extant	0.3	1.8
Eptesicus_fuscus	extant	0.3	1.8
Plecotus	extant	0.3	1.8
Myotis_austroriparius	extant	0.0117	0.126
Desmodus_stocki	extant	0.0117	0.126
Myotis_austroriparius	extant	0.0117	0.126
Lasiurus_intermedius	extant	0.0117	0.126
Desmodus_stocki	extant	0.0117	0.126
Pipistrellus_subflavus	extant	0.0117	0.126
Lasiurus_intermedius	extant	0.0117	0.126
Myotis_austroriparius	extant	0.0117	0.126
Myotis_austroriparius	extant	0.0117	0.126
Mormoops	extant	0.0117	0.126
Eumops	extant	0	0.0117
Eumops	extant	0	0.0117
Molossops	extant	0	0.0117
Molossus	extant	0	0.0117
Artibeus_jamaicensis	extant	0	0.0117
Carollia	extant	0	0.0117
Desmodus_rotundus	extant	0	0.0117
Glossophaga	extant	0	0.0117
Glossophaga	extant	0	0.0117
Micronycteris	extant	0	0.0117
Phyllostomus	extant	0	0.0117
Phyllostomus	extant	0	0.0117
Sturnira	extant	0	0.0117
Sturnira	extant	0	0.0117
Trachops_cirrhosus	extant	0	0.0117
Eptesicus	extant	0	0.0117
Lasiurus	extant	0	0.0117
Myotis	extant	0	0.0117
Rhogeessa	extant	0	0.0117
Rhynchonycteris	extant	0	0.0117
Noctilio_leporinus	extant	0	0.0117
Noctilio_albiventris	extant	0	0.0117
Micronycteris	extant	0	0.0117
Micronycteris	extant	0	0.0117
Tonatia	extinct	0	0.0117
Tonatia	extinct	0	0.0117
Phyllostomus	extant	0	0.0117
Myotis	extant	0	0.0117
Molossops	extant	0	0.0117
Molossus	extant	0	0.0117
Eumops	extant	0	0.0117
Eumops_glaucinus	extant	0	0.0117
Eumops	extant	0	0.0117
Lasiurus_borealis	extant	0	0.0117
Nycteris	extant	0	0.0117
Taphozous	extant	0	0.0117
Eptesicus	extant	0	0.0117
Rhinolophus	extant	0	0.0117
Pipistrellus	extant	0	0.0117
Scotophilus	extant	0	0.0117
Eptesicus	extant	0.0117	2.588
Miniopterus	extant	0.0117	2.588
Rhinolophus	extant	0.0117	2.588
Tadarida	extant	0	2.588
Nycteris	extant	0	2.588
Eptesicus	extant	0	2.588
Eptesicus	extant	0	2.588
Scotophilus	extant	0	2.588
Rhinolophus	extant	0	2.588
Rhinolophus	extant	0	2.588
Miniopterus	extant	0	2.588
Myotis	extant	0	2.588
Hipposideros	extant	0	0.0117
Chiroptera	extant	0.781	2.588
Archaeonycteris	extinct	40.4	48.6
Palaeochiropteryx	extinct	40.4	48.6
Chiroptera	extant	11.62	13.82
Tadarida	extant	0	0.0117
Rhinolophus	extant	0.0117	5.333
Eptesicus	extant	0.0117	5.333
Myotis	extant	0.0117	5.333
Myotis	extant	0.0117	5.333
Nycteris	extant	2.588	5.333
Eptesicus	extant	2.588	5.333
Rhinolophus	extant	2.588	5.333
Rhinolophus	extant	2.588	5.333
Eptesicus	extant	2.588	5.333
Miniopterus	extant	2.588	5.333
Eptesicus	extant	2.588	5.333
Rhinolophus	extant	2.588	5.333
Rhinolophus	extant	2.588	5.333
Eptesicus	extant	2.588	5.333
Miniopterus	extant	2.588	5.333
Megadermatidae	extinct	2.588	5.333
Rhinolophus	extant	2.588	5.333
Scotophilus	extant	0.781	5.333
Nycteridae	extant	0.781	5.333
Nycteris	extant	0.781	5.333
Taphozous	extant	1.806	2.588
Hipposideros	extant	1.806	2.588
Taphozous	extant	2.588	3.6
Eidolon	extant	2.588	3.6
Hipposideros	extant	2.588	3.6
Hipposideros	extant	2.588	3.6
Rousettus	extant	0	0.0117
Miniopterus	extant	0	0.0117
Rousettus	extant	0	0.0117
Rousettus	extant	0	0.0117
Rousettus	extant	0	2.588
Rousettus	extant	0	2.588
Rousettus	extant	0	2.588
Karstala_silva	extinct	15.97	20.43
Phyllostomatidae	extinct	20.43	30.8
Chiroptera	extant	4.9	10.3
Vespertilionoidea	extinct	24.8	26.3
Eptesicus	extant	4.9	10.3
Myotis	extant	4.9	10.3
Chiroptera	extant	15.97	20.44
Rhinolophidae	extinct	15.97	28.4
Chiroptera	extant	2.588	3.6
Rhinolophus	extant	3.2	5.333
Myotis	extant	3.2	5.333
Plecotus	extant	3.2	5.333
Chiroptera	extant	0.781	2.588
Myotis	extant	0.126	0.781
Myotis	extant	0.126	0.781
Chiroptera	extant	11.62	15.97
Chiroptera	extant	11.62	15.97
Chiroptera	extant	11.62	15.97
Chiroptera	extant	0.781	2.588
Chiroptera	extant	0.781	2.588
Chiroptera	extant	0.781	2.588
Rhinolophus_delphinensis	extinct	4.2	4.9
Miniopterus	extant	4.2	4.9
Plecotus_crassidens	extant	4.2	4.9
Myotis	extant	4.2	4.9
Myotis	extant	4.2	4.9
Myotis	extant	4.2	4.9
Rhinolophus_ferrumequinum	extant	1.806	2.588
Myotis	extant	1.806	2.588
Myotis	extant	1.806	2.588
Myotis	extant	4.2	4.9
Myotis	extant	4.2	4.9
Rhinolophus_delphinensis	extinct	3.2	4.2
Rhinolophus_grivensis	extant	3.2	4.2
Plecotus_crassidens	extant	3.2	4.2
Myotis	extant	3.2	4.2
Myotis	extant	3.2	4.2
Myotis	extant	3.2	4.2
Myotis	extant	3.2	4.2
Myotis_helleri	extinct	3.2	4.2
