"Hipposideros morloti","38","33.9"
"Hipposideros schlosseri","38","33.9"
"Hipposideros morloti","38","33.9"
"Hipposideros schlosseri","38","33.9"
"Palaeophyllophora quercyi","38","33.9"
"Rhinolophus priscus","38","33.9"
"Hipposideros schlosseri","38","33.9"
"Palaeophyllophora oltina","38","33.9"
"Rhinolophus priscus","38","33.9"
"Vespertiliavus gracilis","38","33.9"
"Stehlinia gracilis","38","33.9"
"Hipposideros morloti","37.2","33.9"
"Rhinolophus priscus","38","33.9"
"Hipposideros schlosseri","37.2","33.9"
"Hipposideros morloti","37.2","33.9"
"Palaeophyllophora quercyi","37.2","33.9"
"Vespertiliavus gracilis","37.2","33.9"
"Stehlinia gracilis","37.2","33.9"
"Hipposideros morloti","38","33.9"
"Hipposideros schlosseri","38","33.9"
"Rhinolophus priscus","38","33.9"
"Palaeophyllophora oltina","38","33.9"
"Hipposideros morloti","38","33.9"
"Hipposideros schlosseri","38","33.9"
"Rhinolophus priscus","38","33.9"
"Plecotus auritus","0.781","0.126"
"Vespertilio murinus","0.781","0.126"
"Archerops annectens","15.97","11.608"
"Cambaya complexus","56","47.8"
"Jaegeria cambayensis","56","47.8"
"Shanwangia unexpectata","15.97","11.608"
"Lophostoma silvicolum","0.126","0.0117"
"Trachops cirrhosus","0.126","0.0117"
"Eptesicus fuscus","0.126","0.0117"
"Eptesicus fuscus","0.126","0"
"Eptesicus fuscus","0.126","0"
"Eptesicus fuscus","0.126","0"
"Eptesicus fuscus","0.126","0"
"Eptesicus fuscus","0.126","0"
"Antrozous pallidus","0.0117","0"
"Eumops perotis","0.0117","0"
"Eptesicus fuscus","0.0117","0"
"Myotis austroriparius","0.126","0.0117"
"Megaderma vireti","9.7","8.7"
"Rhinolophus grivensis","9.7","8.7"
"Rhinolophus delphinensis","11.1","9.7"
"Rhinolophus grivensis","11.1","9.7"
"Noctilio lacrimaelunaris","11.62","7.246"
"Megaderma vireti","8.7","7.75"
"Rhinolophus delphinensis","8.7","7.75"
"Rhinolophus grivensis","8.7","7.75"
"Myotis boyeri","8.7","7.75"
"Megaderma vireti","7.246","4.9"
"Rhinolophus delphinensis","7.246","4.9"
"Myotis boyeri","7.246","4.9"
"Rhinolophus ferrumequinum","2.588","0.781"
"Myotis myotis","0.781","0.126"
"Rhinolophus ferrumequinum","0.781","0.126"
"Rhinolophus euryale","0.781","0.126"
"Megaderma lugdunensis","13.65","12.75"
"Miniopterus fossilis","13.65","12.75"
"Paleptesicus priscus","13.65","12.75"
"Rhinolophus delphinensis","13.65","12.75"
"Rhinolophus grivensis","13.65","12.75"
"Tadarida leptognatha","13.65","12.75"
"Tadarida engesseri","13.65","12.75"
"Megaderma franconica","20","16.9"
"Eptesicus aurelianensis","20","16.9"
"Rhinolophus dehmi","20","16.9"
"Miostrellus risgoviensis","13.65","12.75"
"Eptesicus aurelianensis","16.9","15.97"
"Eumops perotis","0.0117","0"
"Antrozous pallidus","0.126","0"
"Balantiopteryx io","0.126","0.0117"
"Leptonycteris nivalis","0.126","0.0117"
"Artibeus jamaicensis","0.126","0.0117"
"Tadarida brasiliensis","0.126","0.0117"
"Tadarida laticaudata","0.126","0.0117"
"Tadarida aurispinosa","0.126","0.0117"
"Eumops perotis","0.126","0.0117"
"Chrotopterus auritus","0.126","0"
"Desmodus rotundus","0.126","0"
"Desmodus draculae","0.126","0"
"Tadarida brasiliensis","0.126","0"
"Eumops perotis","0.0117","0"
"Desmodus rotundus","0.126","0.0117"
"Plecotus tetralophodon","0.126","0.0117"
"Icaronycteris sigei","56","47.8"
"Archaeonycteris storchi","56","47.8"
"Eptesicus praeglacialis","2.588","0.781"
"Plecotus crassidens","2.588","0.781"
"Eptesicus fuscus","2.588","0.0117"
"Eumops glaucinus","0.126","0.0117"
"Myotis lucifugus","0.126","0.0117"
"Myotis velifer","0.126","0.0117"
"Eptesicus fuscus","0.126","0.0117"
"Myotis velifer","0.0117","0"
"Pipistrellus hesperus","0.0117","0"
"Antrozous pallidus","0.0117","0"
"Tadarida brasiliensis","0.0117","0"
"Desmodus stocki","0.126","0.0117"
"Myotis thysanodes","0.126","0.0117"
"Tachypteron franzeni","48.6","40.4"
"Myotis velifer","0.126","0.0117"
"Antrozous pallidus","0.126","0.0117"
"Tadarida brasiliensis","0.126","0.0117"
"Desmodus stocki","0.126","0.0117"
"Myotis lucifugus","0.126","0.0117"
"Myotis velifer","0.126","0.0117"
"Eptesicus fuscus","0.126","0.0117"
"Antrozous pallidus","0.126","0.0117"
"Tadarida brasiliensis","0.126","0.0117"
"Cubanycteris silvai","0.126","0.0117"
"Artibeus jamaicensis","0.126","0.0117"
"Eptesicus fuscus","0.126","0.0117"
"Antrozous pallidus","0.126","0.0117"
"Lasiurus borealis","0.126","0.0117"
"Lasiurus intermedius","0.126","0.0117"
"Onychonycteris finneyi","55.8","50.3"
"Myotis grisescens","2.588","0.0117"
"Myotis grisescens","2.588","0"
"Myotis grisescens","2.588","0"
"Myotis keenii","2.588","0.0117"
"Pipistrellus subflavus","2.588","0"
"Eptesicus fuscus","2.588","0"
"Myotis grisescens","1.8","0.3"
"Myotis lucifugus","0.126","0.0117"
"Eptesicus fuscus","0.126","0.0117"
"Nycticeius humeralis","0.126","0.0117"
"Tanzanycteris mannardi","47.8","41.3"
"Archaeopteropus transiens","33.9","28.4"
"Tadarida rusingae","20.44","15.97"
"Xenorhinos halli","23.03","15.97"
"Brevipalatus mcculloughi","23.03","15.97"
"Riversleigha williamsi","23.03","15.97"
"Philisis sphingis","33.9","28.1"
"Witwatia schlosseri","38","33.9"
"Witwatia eremicus","38","33.9"
"Qarunycteris moerisae","38","33.9"
"Dhofarella sigei","33.9","28.1"
"Saharaderma pseudovampyrus","33.9","28.1"
"Khonsunycteris aegypticus","33.9","28.1"
"Honrovits tsuwape","55.8","50.3"
"Icaronycteris menui","56","47.8"
"Archaeonycteris brailloni","56","47.8"
"Ageina tobieni","56","47.8"
"Icaronycteris menui","56","47.8"
"Archaeonycteris brailloni","56","47.8"
"Rhinolophus ferrumequinum","0.126","0.0117"
"Phyllops silvai","0.126","0.0117"
"Antrozous pallidus","0.126","0.0117"
"Myotis thysanodes","0.126","0.0117"
"Antrozous pallidus","0.126","0.0117"
"Lasionycteris noctivagans","0.126","0.0117"
"Pipistrellus subflavus","0.126","0.0117"
"Plecotus townsendii","0.126","0"
"Antrozous pallidus","0.126","0"
"Antrozous pallidus","0.126","0"
"Pipistrellus subflavus","3.6","2.588"
"Lasiurus borealis","3.6","2.588"
"Lasiurus seminolus","3.6","2.588"
"Tadarida brasiliensis","0.0117","0"
"Rhinolophus ferrumequinum","0.126","0.0117"
"Rhinolophus ferrumequinum","0.126","0.0117"
"Plecotus auritus","0.126","0.0117"
"Myotis lucifugus","0.126","0.0117"
"Myotis keenii","0.126","0.0117"
"Myotis grisescens","0.126","0.0117"
"Pipistrellus subflavus","0.126","0.0117"
"Eptesicus fuscus","0.126","0.0117"
"Plecotus townsendii","0.126","0.0117"
"Lasiurus borealis","0.126","0.0117"
"Eptesicus fuscus","0.126","0.0117"
"Eptesicus fuscus","0.126","0"
"Myotis lucifugus","0.126","0"
"Eptesicus fuscus","0.126","0"
"Myotis lucifugus","0.126","0"
"Eptesicus fuscus","0.126","0"
"Eptesicus fuscus","1.8","0.3"
"Lasionycteris noctivagans","0.126","0"
"Eptesicus fuscus","0.781","0.126"
"Protonycteris gunnelli","56","47.8"
"Hassianycteris kumari","56","47.8"
"Microchiropteryx folieae","56","47.8"
"Myotis keenii","0.126","0.0117"
"Myotis lucifugus","0.126","0.0117"
