"lng","lat"
"136.916672","-19.629168"
"136.916672","-19.629168"
"136.916672","-19.629168"
"136.916672","-19.629168"
"136.916672","-19.629168"
"136.916672","-19.629168"
"136.916672","-19.629168"
"136.916672","-19.629168"
"136.916672","-19.629168"
"136.916672","-19.629168"
"136.916672","-19.629168"
"136.916672","-19.629168"
"136.916672","-19.629168"
"136.916672","-19.629168"
"136.916672","-19.629168"
"136.916672","-19.629168"
"35.130001","-3.130000"
"144.279999","-36.759998"
"144.279999","-36.759998"
"144.279999","-36.759998"
"144.279999","-36.759998"
"144.279999","-36.759998"
"144.279999","-36.759998"
"144.279999","-36.759998"
"144.279999","-36.759998"
"144.279999","-36.759998"
"144.279999","-36.759998"
"144.279999","-36.759998"
"144.279999","-36.759998"
"144.279999","-36.759998"
"144.279999","-36.759998"
"144.279999","-36.759998"
"144.279999","-36.759998"
"144.279999","-36.759998"
"144.279999","-36.759998"
"144.279999","-36.759998"
"144.279999","-36.759998"
"144.279999","-36.759998"
"144.279999","-36.759998"
"144.279999","-36.759998"
"144.279999","-36.759998"
"144.279999","-36.759998"
"144.279999","-36.759998"
"144.279999","-36.759998"
"144.279999","-36.759998"
"144.279999","-36.759998"
"144.279999","-36.759998"
"144.279999","-36.759998"
"144.279999","-36.759998"
"144.279999","-36.759998"
"144.279999","-36.759998"
"144.279999","-36.759998"
"144.279999","-36.759998"
"144.279999","-36.759998"
"144.279999","-36.759998"
"144.279999","-36.759998"
"144.279999","-36.759998"
"144.279999","-36.759998"
"144.279999","-36.759998"
"144.279999","-36.759998"
"144.279999","-36.759998"
"144.279999","-36.759998"
"144.279999","-36.759998"
"144.279999","-36.759998"
"-57.000000","-64.000000"
"-57.000000","-64.000000"
"-57.000000","-64.000000"
"-57.000000","-64.000000"
"-57.000000","-64.000000"
"-57.000000","-64.000000"
"-57.000000","-64.000000"
"-57.000000","-64.000000"
"-57.000000","-64.000000"
"-57.000000","-64.000000"
"-57.000000","-64.000000"
"-57.000000","-64.000000"
"-57.000000","-64.000000"
"-57.000000","-64.000000"
"-57.000000","-64.000000"
"-57.000000","-64.000000"
"-57.000000","-64.000000"
"-57.000000","-64.000000"
"-57.000000","-64.000000"
"-57.000000","-64.000000"
"-57.000000","-64.000000"
"-57.000000","-64.000000"
"-57.000000","-64.000000"
"-57.000000","-64.000000"
"-57.000000","-64.000000"
"-57.000000","-64.000000"
"-57.000000","-64.000000"
"-57.000000","-64.000000"
"-57.000000","-64.000000"
"8.000000","6.000000"
"8.000000","6.000000"
"8.000000","6.000000"
"8.000000","6.000000"
"8.000000","6.000000"
"8.000000","6.000000"
"8.000000","6.000000"
"8.000000","6.000000"
"8.000000","6.000000"
"8.000000","6.000000"
"8.000000","6.000000"
