"213277","occ","","","21693","Taphozous","genus","40637","Holocene","","0.0117","0","4805"
"213278","occ","","","21693","Eptesicus","genus","40671","Holocene","","0.0117","0","4805"
"213292","occ","","","21693","Rhinolophus","genus","40646","Holocene","","0.0117","0","4805"
"213303","occ","","","21693","Pipistrellus","genus","40683","Holocene","","0.0117","0","4805"
"213304","occ","","","21693","Scotophilus","genus","40687","Holocene","","0.0117","0","4805"
"214000","occ","","","21915","Eptesicus","genus","40671","Pleistocene","","2.588","0.0117","5214"
"214013","occ","","","21915","Miniopterus","genus","40676","Pleistocene","","2.588","0.0117","5214"
"214016","occ","","","21915","Rhinolophus","genus","40646","Pleistocene","","2.588","0.0117","5214"
"214137","occ","","","21949","Tadarida","genus","40691","Pleistocene","Holocene","2.588","0","5248"
"214140","occ","","","21949","Nycteris","genus","103133","Pleistocene","Holocene","2.588","0","5248"
"214141","occ","","","21949","Eptesicus","genus","40671","Pleistocene","Holocene","2.588","0","5248"
"214142","occ","","","21949","Eptesicus","genus","40671","Pleistocene","Holocene","2.588","0","5248"
"214143","occ","","","21949","Scotophilus","genus","40687","Pleistocene","Holocene","2.588","0","5248"
"214154","occ","","","21949","Rhinolophus","genus","40646","Pleistocene","Holocene","2.588","0","5248"
"214171","occ","","","21949","Rhinolophus","genus","40646","Pleistocene","Holocene","2.588","0","5248"
"214172","occ","","","21949","Miniopterus","genus","40676","Pleistocene","Holocene","2.588","0","5248"
"214173","occ","","","21949","Myotis","genus","40678","Pleistocene","Holocene","2.588","0","5248"
"216893","occ","","","22073","Hipposideros","genus","40649","Holocene","","0.0117","0","5324"
"220131","occ","","","22701","Archaeonycteris","genus","40630","MP 11","","48.6","40.4","5671"
"220132","occ","","","22701","Palaeochiropteryx","genus","40634","MP 11","","48.6","40.4","5671"
"220535","occ","","","21894","Tadarida","genus","40691","Holocene","","0.0117","0","5210"
"221108","occ","","","22333","Rhinolophus","genus","40646","Pliocene","Pleistocene","5.333","0.0117","4884"
"221114","occ","","","22333","Eptesicus","genus","40671","Pliocene","Pleistocene","5.333","0.0117","4884"
"221115","occ","","","22333","Myotis","genus","40678","Pliocene","Pleistocene","5.333","0.0117","4884"
"221116","occ","","","22333","Myotis","genus","40678","Pliocene","Pleistocene","5.333","0.0117","4884"
"221141","occ","","","22339","Nycteris","genus","103133","Pliocene","","5.333","2.588","4887"
"221154","occ","","","22339","Eptesicus","genus","40671","Pliocene","","5.333","2.588","4887"
"221164","occ","","","22339","Rhinolophus","genus","40646","Pliocene","","5.333","2.588","4887"
"221165","occ","","","22339","Rhinolophus","genus","40646","Pliocene","","5.333","2.588","4887"
"221169","occ","","","22339","Eptesicus","genus","40671","Pliocene","","5.333","2.588","4887"
"221170","occ","","","22339","Miniopterus","genus","40676","Pliocene","","5.333","2.588","4887"
"221185","occ","","","22341","Eptesicus","genus","40671","Pliocene","","5.333","2.588","5536"
"221195","occ","","","22341","Rhinolophus","genus","40646","Pliocene","","5.333","2.588","5536"
"221196","occ","","","22341","Rhinolophus","genus","40646","Pliocene","","5.333","2.588","5536"
"221198","occ","","","22341","Eptesicus","genus","40671","Pliocene","","5.333","2.588","5536"
"221199","occ","","","22341","Miniopterus","genus","40676","Pliocene","","5.333","2.588","5536"
"221220","occ","","","22353","Rhinolophus","genus","40646","Pliocene","","5.333","2.588","4887"
"223055","occ","","","21502","Scotophilus","genus","40687","Pliocene","Calabrian","5.333","0.781","4734"
"223057","occ","","","21502","Nycteris","genus","103133","Pliocene","Calabrian","5.333","0.781","4734"
"223265","occ","","","21545","Taphozous","genus","40637","Gelasian","","2.588","1.806","4769"
"223267","occ","","","21545","Hipposideros","genus","40649","Gelasian","","2.588","1.806","4769"
"223293","occ","","","21546","Taphozous","genus","40637","Late Pliocene","Piacenzian","3.6","2.588","4768"
"223305","occ","","","21546","Eidolon","genus","158500","Late Pliocene","Piacenzian","3.6","2.588","4768"
"223306","occ","","","21546","Hipposideros","genus","40649","Late Pliocene","Piacenzian","3.6","2.588","4768"
"223307","occ","","","21546","Hipposideros","genus","40649","Late Pliocene","Piacenzian","3.6","2.588","4768"
"227031","occ","","","22073","Rousettus","genus","158501","Holocene","","0.0117","0","5324"
"227050","occ","","","22073","Miniopterus","genus","40676","Holocene","","0.0117","0","5324"
"227058","occ","","","22073","Rousettus","genus","158501","Holocene","","0.0117","0","5324"
"227059","occ","","","22073","Rousettus","genus","158501","Holocene","","0.0117","0","5324"
"227111","occ","","","22074","Rousettus","genus","158501","Pleistocene","Holocene","2.588","0","5325"
"227131","occ","","","22074","Rousettus","genus","158501","Pleistocene","Holocene","2.588","0","5325"
"227132","occ","","","22074","Rousettus","genus","158501","Pleistocene","Holocene","2.588","0","5325"
"287047","occ","","","19514","Eptesicus","genus","40671","Late Hemphillian","","10.3","4.9","1295"
"287048","occ","","","19514","Myotis","genus","40678","Late Hemphillian","","10.3","4.9","1295"
"340399","occ","","","32103","Rhinolophus","genus","40646","Ruscinian","","5.333","3.2","8633"
"340421","occ","","","32104","Myotis","genus","40678","Ruscinian","","5.333","3.2","8633"
"340422","occ","","","32104","Plecotus","genus","40684","Ruscinian","","5.333","3.2","8633"
"341488","occ","","","32180","Myotis","genus","40678","Middle Pleistocene","","0.781","0.126","8666"
"341489","occ","","","32180","Myotis","genus","40678","Middle Pleistocene","","0.781","0.126","8666"
"343560","occ","","","32240","Miniopterus","genus","40676","MN 14","","4.9","4.2","8865"
"343562","occ","","","32240","Myotis","genus","40678","MN 14","","4.9","4.2","8865"
"343563","occ","","","32240","Myotis","genus","40678","MN 14","","4.9","4.2","8865"
"343564","occ","","","32240","Myotis","genus","40678","MN 14","","4.9","4.2","8865"
"344816","occ","","","32485","Myotis","genus","40678","MN 17","","2.588","1.806","8762"
"344817","occ","","","32485","Myotis","genus","40678","MN 17","","2.588","1.806","8762"
"350638","occ","","","32240","Myotis","genus","40678","MN 14","","4.9","4.2","8865"
"350639","occ","","","32240","Myotis","genus","40678","MN 14","","4.9","4.2","8865"
"351239","occ","","","33396","Myotis","genus","40678","MN 15","","4.2","3.2","8869"
"351240","occ","","","33396","Myotis","genus","40678","MN 15","","4.2","3.2","8869"
"351241","occ","","","33396","Myotis","genus","40678","MN 15","","4.2","3.2","8869"
"351242","occ","","","33396","Myotis","genus","40678","MN 15","","4.2","3.2","8869"
"360293","occ","","","34127","Myotis","genus","40678","Pleistocene","","2.588","0.0117","8650"
