Species	Status
Tylonycteris	extant
Vampyravus_orientalis	extinct
Vaylatsia_prisca	extinct
Vespertiliavus	extinct
Vespertiliavus_gracilis	extinct
Vespertiliavus_lapradei	extinct
Vespertilio	extant
Vespertilio_murinus	extant
Vespertilionidae	extant
Vespertilionoidea	extinct
Wallia	extinct
Wallia_scalopidens	extinct
Witwatia_eremicus	extinct
Witwatia_schlosseri	extinct
Xenorhinos_halli	extinct
