Genus,Species
Hipposideros,breviceps
Hipposideros,caffer
Hipposideros,calcaratus
Hipposideros,camerunensis
Hipposideros,cervinus
Hipposideros,cineraceus
Hipposideros,commersoni
Hipposideros,coronatus
Hipposideros,corynophyllus
Hipposideros,coxi
Hipposideros,crumeniferus
Hipposideros,curtus
Hipposideros,cyclops
Hipposideros,demissus
Hipposideros,diadema
Hipposideros,dinops
Hipposideros,doriae
Hipposideros,durgadasi
Hipposideros,dyacorum
Hipposideros,edwardshilli
Hipposideros,fuliginosus
Hipposideros,fulvus
Hipposideros,galeritus
Hipposideros,gigas
Hipposideros,grandis
Hipposideros,halophyllus
Hipposideros,hypophyllus
Hipposideros,inexpectatus
Hipposideros,inornatus
Hipposideros,jonesi
Hipposideros,khaokhouayensis
Hipposideros,lamottei
Hipposideros,lankadiva
Hipposideros,larvatus
Hipposideros,lekaguli
Hipposideros,lylei
Hipposideros,macrobullatus
Hipposideros,madurae
Hipposideros,maggietaylorae
Hipposideros,marisae
Hipposideros,megalotis
Hipposideros,muscinus
Hipposideros,nequam
Hipposideros,obscurus
Hipposideros,orbiculus
Hipposideros,papua
Hipposideros,pelingensis
Hipposideros,pomona
Hipposideros,pratti
Hipposideros,pygmaeus
Hipposideros,ridleyi
Hipposideros,rotalis
Hipposideros,ruber
Hipposideros,scutinares
Hipposideros,semoni
Hipposideros,sorenseni
Hipposideros,speoris
Hipposideros,stenotis
Hipposideros,sumbae
Hipposideros,thomensis
Hipposideros,turpis
Hipposideros,vittatus
Hipposideros,wollastoni
Histiotus,alienus
Histiotus,humboldti
Histiotus,laephotis
Histiotus,macrotus
Histiotus,magellanicus
Histiotus,montanus
Histiotus,velatus
Hylonycteris,underwoodi
Hypsignathus,monstrosus
Hypsugo,anthonyi
Hypsugo,joffrei
Hypsugo,kitcheneri
Hypsugo,lophurus
Hypsugo,macrotis
Hypsugo,savii
Hypsugo,vordermanni
Ia,io
Idionycteris,phyllotis
Kerivoula,africana
Kerivoula,agnella
Kerivoula,argentata
Kerivoula,cuprosa
Kerivoula,eriophora
Kerivoula,flora
Kerivoula,hardwickii
Kerivoula,intermedia
Kerivoula,kachinensis
Kerivoula,krauensis
Kerivoula,lanosa
Kerivoula,lenis
Kerivoula,minuta
Kerivoula,muscina
Kerivoula,myrella
Kerivoula,papillosa
Kerivoula,pellucida
Kerivoula,phalaena
Kerivoula,picta
Kerivoula,smithii
Kerivoula,titania
Kerivoula,whiteheadi
Laephotis,angolensis
Laephotis,botswanae
Laephotis,namibensis
Laephotis,wintoni
Lampronycteris,brachyotis
Lasionycteris,noctivagans
Lasiurus,atratus
Lasiurus,blossevillii
Lasiurus,borealis
Lasiurus,castaneus
Lasiurus,cinereus
Lasiurus,degelidus
Lasiurus,ebenus
Lasiurus,ega
Lasiurus,egregius
Lasiurus,insularis
Lasiurus,intermedius
Lasiurus,minor
Lasiurus,pfeifferi
Lasiurus,seminolus
Lasiurus,varius
Lasiurus,xanthinus
Latidens,salimalii
Lavia,frons
Leptonycteris,curasoae
Leptonycteris,nivalis
Leptonycteris,yerbabuenae
Lichonycteris,obscura
Lionycteris,spurrelli
Lissonycteris,angolensis
Lonchophylla,bokermanni
Lonchophylla,chocoana
Lonchophylla,concava
Lonchophylla,dekeyseri
Lonchophylla,handleyi
Lonchophylla,hesperia
Lonchophylla,mordax
Lonchophylla,orcesi
Lonchophylla,robusta
Lonchophylla,thomasi
Lonchorhina,aurita
Lonchorhina,fernandezi
Lonchorhina,inusitata
Lonchorhina,marinkellei
Lonchorhina,orinocensis
Lophostoma,brasiliense
Lophostoma,carrikeri
Lophostoma,evotis
Lophostoma,kalkoae
Lophostoma,occidentalis
Lophostoma,schulzi
Lophostoma,silvicolum
Macroderma,gigas
Macroglossus,minimus
Macroglossus,sobrinus
Macrophyllum,macrophyllum
Macrotus,californicus
Macrotus,waterhousii
Megaderma,lyra
Megaderma,spasma
Megaerops,ecaudatus
Megaerops,kusnotoi
Megaerops,niphanae
Megaerops,wetmorei
Megaloglossus,azagnyi
Megaloglossus,woermanni
Melonycteris,fardoulisi
Melonycteris,melanops
Melonycteris,woodfordi
Mesophylla,macconnelli
Micronycteris,brosseti
Micronycteris,buriri
Micronycteris,giovanniae
Micronycteris,hirsuta
Micronycteris,matses
Micronycteris,megalotis
Micronycteris,microtis
Micronycteris,minuta
Micronycteris,sanborni
Micronycteris,schmidtorum
Micropteropus,intermedius
Micropteropus,pusillus
Mimetillus,moloneyi
Mimon,bennettii
Mimon,cozumelae
Mimon,crenulatum
Mimon,koepckeae
Miniopterus,africanus
Miniopterus,australis
Miniopterus,fraterculus
Miniopterus,fuscus
Miniopterus,gleni
Miniopterus,griveaudi
Miniopterus,inflatus
Miniopterus,macrocneme
Miniopterus,magnater
Miniopterus,majori
Miniopterus,manavi
Miniopterus,medius
Miniopterus,minor
Miniopterus,natalensis
Miniopterus,newtoni
Miniopterus,paululus
Miniopterus,petersoni
Miniopterus,pusillus
Miniopterus,robustior
Miniopterus,schreibersii
Miniopterus,shortridgei
Miniopterus,sororculus
Miniopterus,tristis
Mirimiri,acrodonta
Molossops,aequatorianus
Molossops,mattogrossensis
Molossops,neglectus
Molossops,temminckii
Molossus,alvarezi
Molossus,aztecus
Molossus,coibensis
Molossus,currentium
Molossus,molossus
Molossus,pretiosus
Molossus,rufus
Molossus,sinaloae
Monophyllus,plethodon
Monophyllus,redmani
Mops,brachypterus
Mops,condylurus
Mops,congicus
Mops,demonstrator
Mops,leucostigma
Mops,midas
Mops,mops
Mops,nanulus
Mops,niangarae
Mops,niveiventer
Mops,petersoni
Mops,sarasinorum
Mops,spurrelli
Mops,thersites
Mops,trevori
Mormoops,blainvillei
Mormoops,megalophylla
Mormopterus,acetabulosus
Mormopterus,beccarii
Mormopterus,doriae
Mormopterus,jugularis
Mormopterus,kalinowskii
Mormopterus,loriae
Mormopterus,minutus
Mormopterus,norfolkensis
Mormopterus,phrudus
Mormopterus,planiceps
Mosia,nigrescens
Murina,aenea
Murina,aurata
Murina,cyclotis
Murina,florium
Murina,fusca
Murina,harrisoni
Murina,hilgendorfi
Murina,huttoni
Murina,leucogaster
Murina,puta
Murina,rozendaali
Murina,ryukyuana
Murina,suilla
Murina,tenebrosa
Murina,tubinaris
Murina,ussuriensis
Musonycteris,harrisoni
Myonycteris,brachycephala
Myonycteris,leptodon
Myonycteris,relicta
Myonycteris,torquata
Myopterus,daubentonii
Myopterus,whitleyi
Myotis,adversus
Myotis,aelleni
Myotis,albescens
Myotis,alcathoe
Myotis,altarium
Myotis,anjouanensis
Myotis,annamiticus
Myotis,annectans
Myotis,atacamensis
Myotis,ater
Myotis,aurascens
Myotis,auriculus
Myotis,australis
Myotis,austroriparius
Myotis,bechsteinii
Myotis,blythii
Myotis,bocagii
Myotis,bombinus
Myotis,brandtii
Myotis,bucharensis
Myotis,californicus
Myotis,capaccinii
Myotis,chiloensis
Myotis,chinensis
Myotis,ciliolabrum
Myotis,cobanensis
Myotis,csorbai
Myotis,dasycneme
Myotis,daubentonii
Myotis,davidii
Myotis,dieteri
Myotis,dinellii
Myotis,dominicensis
Myotis,elegans
Myotis,emarginatus
Myotis,evotis
Myotis,fimbriatus
Myotis,findleyi
Myotis,formosus
Myotis,fortidens
Myotis,frater
Myotis,gomantongensis
Myotis,goudoti
Myotis,grisescens
Myotis,hajastanicus
Myotis,hasseltii
Myotis,hermani
Myotis,horsfieldii
Myotis,ikonnikovi
Myotis,insularum
Myotis,keaysi
Myotis,keenii
Myotis,laniger
Myotis,leibii
Myotis,levis
Myotis,longipes
Myotis,lucifugus
Myotis,macrodactylus
Myotis,macropus
Myotis,macrotarsus
Myotis,martiniquensis
Myotis,melanorhinus
Myotis,moluccarum
Myotis,montivagus
Myotis,morrisi
Myotis,muricola
Myotis,myotis
Myotis,mystacinus
Myotis,nattereri
Myotis,nesopolus
Myotis,nigricans
Myotis,nipalensis
Myotis,nyctor
Myotis,occultus
Myotis,oreias
Myotis,oxyotus
Myotis,peninsularis
Myotis,pequinius
Myotis,pilosus
Myotis,planiceps
Myotis,pruinosus
Myotis,punicus
Myotis,ridleyi
Myotis,riparius
Myotis,rosseti
Myotis,ruber
