"occurrence_no","record_type","reid_no","flags","collection_no","accepted_name","accepted_rank","accepted_no","early_interval","late_interval","max_ma","min_ma","reference_no"
"186190","occ","","","18275","Vespertilionidae","family","40663","Barstovian","","15.97","13.6","3510"
"186271","occ","","","18284","Antrozous","genus","40665","Barstovian","","15.97","13.6","3510"
"186601","occ","","","18324","Myotis","genus","40678","Clarendonian","","13.6","10.3","1297"
"186641","occ","","","18327","Lasiurus","genus","40675","Late Clarendonian","","13.6","10.3","1297"
"187209","occ","","","18442","Vespertilionidae","family","40663","Barstovian","","15.97","13.6","3510"
"187348","occ","","","18450","Myotis","genus","40678","Clarendonian","","13.6","10.3","3676"
"187428","occ","","","18463","Myotis yumanensis","species","52651","Clarendonian","","13.6","10.3","1317"
"187429","occ","","","18463","Chiroptera","order","40622","Clarendonian","","13.6","10.3","1317"
"187685","occ","","","18512","Vespertilionidae","family","40663","Late Hemingfordian","","20.43","15.97","2614"
"187868","occ","","","18554","Microchiroptera","suborder","40627","Late Clarendonian","","13.6","10.3","3581"
"187933","occ","","","18560","Vespertilionidae","family","40663","Hemphillian","","10.3","4.9","2367"
"188085","occ","","","18579","Vespertilionidae","family","40663","Early Hemingfordian","","20.43","15.97","1446"
"188169","occ","","","18597","Suaptenos whitei","species","136038","Hemingfordian","","20.43","15.97","28489"
"188170","occ","","","18597","Miomyotis floridanus","species","136040","Hemingfordian","","20.43","15.97","28489"
"188171","occ","","","18597","Chiroptera","order","40622","Hemingfordian","","20.43","15.97","2690"
"188361","occ","","","18621","Antrozous","genus","40665","Miocene","","23.03","5.333","3030"
"188638","occ","","","18666","Antrozous","genus","40665","Miocene","","23.03","5.333","3030"
"188912","occ","","","18755","Plionycteris","genus","40685","Late Hemphillian","","10.3","4.9","2249"
"189185","occ","","","18803","Ancenycteris","genus","40664","Early Barstovian","","15.97","13.6","3342"
"189360","occ","","","18831","Vespertilionidae","family","40663","Clarendonian","","13.6","10.3","3118"
"189881","occ","","","18944","Vespertilionidae","family","40663","Hemphillian","","10.3","4.9","3118"
"190008","occ","","","18970","Chiroptera","order","40622","Hemphillian","","10.3","4.9","3109"
"190235","occ","","","19015","Myotis","genus","40678","Hemphillian","","10.3","4.9","1547"
"190543","occ","","","19074","Chiroptera","order","40622","Hemingfordian","","20.43","15.97","2634"
"190724","occ","","","19088","Chiroptera","order","40622","Barstovian","","15.97","13.6","1489"
"190981","occ","","","19145","Chiroptera","order","40622","Clarendonian","","13.6","10.3","3628"
"191069","occ","","","19181","Phyllostomatidae","family","40654","Clarendonian","","13.6","10.3","2012"
"191131","occ","","","19193","Chiroptera","order","40622","Barstovian","","15.97","13.6","2243"
"192374","occ","","","19522","Chiroptera","order","40622","Barstovian","","15.97","13.6","2243"
"192392","occ","","","19523","Chiroptera","order","40622","Barstovian","","15.97","13.6","2243"
"192591","occ","","","19550","Chiroptera","order","40622","Barstovian","","15.97","13.6","2243"
"192634","occ","","","19557","Chiroptera","order","40622","Barstovian","","15.97","13.6","2243"
"192788","occ","","","19599","Phyllostomatidae","family","40654","Hemingfordian","","20.43","15.97","1995"
"192930","occ","","","19618","Myotis","genus","40678","Blancan","","4.9","1.8","1292"
"192953","occ","8382","","19620","Lasiurus","genus","40675","Blancan","","4.9","1.8","1295"
"193102","occ","8427","","19638","Eumops perotis","species","48789","Blancan","","4.9","1.8","1295"
"193131","occ","8436","","19645","Histiotus stocki","species","51573","Blancan","","4.9","1.8","6294"
"193167","occ","8444","","19650","Antrozous pallidus","species","52646","Blancan","","4.9","1.8","1295"
"193473","occ","","","19708","Eptesicus fuscus","species","52640","Blancan","","4.9","1.8","1295"
"193719","occ","","","19753","Tadarida","genus","40691","Blancan","","4.9","1.8","2621"
"193811","occ","","","19766","Lasiurus fossilis","species","47492","Blancan","","4.9","1.8","3404"
"194124","occ","","","19908","Antrozous pallidus","species","52646","Blancan","","4.9","1.8","3404"
"194323","occ","","","19931","Lasiurus fossilis","species","47492","Blancan","","4.9","1.8","1860"
"194408","occ","","","19936","Lasiurus fossilis","species","47492","Blancan","","4.9","1.8","1894"
"194608","occ","","","19954","Lasiurus","genus","40675","Blancan","","4.9","1.8","1297"
"194779","occ","","","19966","Myotis","genus","40678","Hemphillian","Blancan","10.3","1.8","1295"
"194780","occ","","","19966","Antrozous pallidus","species","52646","Hemphillian","Blancan","10.3","1.8","1295"
"194930","occ","","","20017","Antrozous","genus","40665","Blancan","","4.9","1.8","2886"
"194931","occ","","","20017","Myotis","genus","40678","Blancan","","4.9","1.8","2886"
"195187","occ","","","20060","Lasionycteris noctivagans","species","52645","Blancan","","4.9","1.8","6330"
"195188","occ","","","20060","Eptesicus fuscus","species","52640","Blancan","","4.9","1.8","6330"
"195189","occ","","","20060","Lasiurus borealis","species","52636","Blancan","","4.9","1.8","6330"
"195190","occ","","","20060","Antrozous pallidus","species","52646","Blancan","","4.9","1.8","6330"
"195487","occ","","","20106","Anzanycteris anzensis","species","44139","Blancan","","4.9","1.8","1186"
"195503","occ","","","20107","Anzanycteris anzensis","species","44139","Blancan","","4.9","1.8","1186"
"195999","occ","","","20143","Chiroptera","order","40622","Irvingtonian","","1.8","0.3","2419"
"196173","occ","","","20164","Eptesicus fuscus","species","52640","Irvingtonian","","1.8","0.3","1319"
"196254","occ","","","20173","Microchiroptera","suborder","40627","Irvingtonian","","1.8","0.3","2893"
"196290","occ","","","20178","Microchiroptera","suborder","40627","Irvingtonian","","1.8","0.3","2893"
"196702","occ","","","20280","Chiroptera","order","40622","Irvingtonian","","1.8","0.3","1817"
"196719","occ","","","20282","Chiroptera","order","40622","Irvingtonian","","1.8","0.3","2254"
"196796","occ","","","20289","Pipistrellus subflavus","species","52648","Irvingtonian","","1.8","0.3","2436"
"196797","occ","","","20289","Myotis austroriparius","species","52635","Irvingtonian","","1.8","0.3","2436"
"196798","occ","","","20289","Plecotus rafinesquii","species","52647","Irvingtonian","","1.8","0.3","2436"
"196840","occ","9343","","20290","Eptesicus fuscus","species","52640","Irvingtonian","","1.8","0.3","6294"
"196841","occ","","","20290","Myotis leibi","species","52643","Irvingtonian","","1.8","0.3","6221"
"196917","occ","","","20295","Lasiurus cinereus","species","52638","Irvingtonian","","1.8","0.3","1907"
"196918","occ","","","20295","Lasiurus golliheri","species","45558","Irvingtonian","","1.8","0.3","1907"
"197031","occ","9391","","20302","Eptesicus fuscus","species","52640","Irvingtonian","","1.8","0.3","6294"
"197032","occ","9392","","20302","Plecotus alleganiensis","species","45286","Irvingtonian","","1.8","0.3","1628"
"197542","occ","","","20350","Desmodus archaeodaptes","species","270547","Irvingtonian","","1.8","0.3","2615"
"197543","occ","","","20350","Myotis austroriparius","species","52635","Irvingtonian","","1.8","0.3","2611"
"197569","occ","","","20351","Desmodus archaeodaptes","species","270547","Irvingtonian","","1.8","0.3","2615"
"197570","occ","","","20351","Myotis austroriparius","species","52635","Irvingtonian","","1.8","0.3","2611"
"197607","occ","","","20354","Myotis","genus","40678","Irvingtonian","","1.8","0.3","1727"
"197767","occ","9556","","20384","Desmodus archaeodaptes","species","270547","Blancan","","4.9","1.8","2611"
"197768","occ","","","20384","Antrozous","genus","40665","Blancan","","4.9","1.8","2611"
"197769","occ","","","20384","Eptesicus","genus","40671","Blancan","","4.9","1.8","2611"
"197770","occ","","","20384","Lasiurus","genus","40675","Blancan","","4.9","1.8","2611"
"197771","occ","","","20384","Myotis","genus","40678","Blancan","","4.9","1.8","3580"
"197772","occ","","","20384","Pipistrellus subflavus","species","52648","Blancan","","4.9","1.8","3580"
"197773","occ","","","20384","Plecotus","genus","40684","Blancan","","4.9","1.8","2611"
"197820","occ","10468","","20385","Myotis","genus","40678","Irvingtonian","","1.8","0.3","9761"
"197821","occ","","","20385","Vespertilionidae","family","40663","Irvingtonian","","1.8","0.3","3872"
"198174","occ","","","20423","Lasiurus cinereus","species","52638","Irvingtonian","","1.8","0.3","1887"
