"196841","occ","","","20290","Myotis leibi","species","48913","","Myotis leibi","species","52643","Irvingtonian","","1.8","0.3","6221"
"196917","occ","","","20295","Lasiurus cinereus","species","47491","","Lasiurus cinereus","species","52638","Irvingtonian","","1.8","0.3","1907"
"196918","occ","","","20295","Dasypterus n. sp. golliheri","species","45558","recombined as","Lasiurus golliheri","species","45558","Irvingtonian","","1.8","0.3","1907"
"197031","occ","9391","","20302","Eptesicus cf. fuscus","species","46252","","Eptesicus fuscus","species","52640","Irvingtonian","","1.8","0.3","6294"
"197032","occ","9392","","20302","Plecotus alleganiensis","species","50425","","Plecotus alleganiensis","species","45286","Irvingtonian","","1.8","0.3","1628"
"197542","occ","","","20350","Desmodus archaeodaptes","species","270547","","Desmodus archaeodaptes","species","270547","Irvingtonian","","1.8","0.3","2615"
"197543","occ","","","20350","Myotis austroriparius","species","48908","","Myotis austroriparius","species","52635","Irvingtonian","","1.8","0.3","2611"
"197569","occ","","","20351","Desmodus archaeodaptes","species","270547","","Desmodus archaeodaptes","species","270547","Irvingtonian","","1.8","0.3","2615"
"197570","occ","","","20351","Myotis austroriparius","species","48908","","Myotis austroriparius","species","52635","Irvingtonian","","1.8","0.3","2611"
"197767","occ","9556","","20384","Desmodus archaeodaptes","species","270547","","Desmodus archaeodaptes","species","270547","Blancan","","4.9","1.8","2611"
"197772","occ","","","20384","Pipistrellus subflavus","species","50360","","Pipistrellus subflavus","species","52648","Blancan","","4.9","1.8","3580"
"198174","occ","","","20423","Lasiurus cinereus","species","47491","","Lasiurus cinereus","species","52638","Irvingtonian","","1.8","0.3","1887"
"198305","occ","","","20444","Myotis velifer","species","48919","","Myotis velifer","species","52649","Irvingtonian","","1.8","0.3","1298"
"198314","occ","","","20445","Myotis thysanodes","species","48918","","Myotis thysanodes","species","48918","Irvingtonian","","1.8","0.3","1298"
"198580","occ","","","20491","Desmodus stocki","species","45613","","Desmodus stocki","species","45613","Rancholabrean","","0.3","0.012","3580"
"198581","occ","","","20491","Myotis austroriparius","species","48908","","Myotis austroriparius","species","52635","Rancholabrean","","0.3","0.012","3580"
"198582","occ","","","20491","Lasiurus borealis","species","47490","","Lasiurus borealis","species","52636","Rancholabrean","","0.3","0.012","3580"
"198583","occ","","","20491","Lasiurus intermedius","species","47494","","Lasiurus intermedius","species","47494","Rancholabrean","","0.3","0.012","3580"
"198584","occ","","","20491","Tadarida brasiliensis","species","51982","","Tadarida brasiliensis","species","49249","Rancholabrean","","0.3","0.012","3580"
"199032","occ","","","20554","Pipistrellus subflavus","species","50360","","Pipistrellus subflavus","species","52648","Irvingtonian","","1.8","0.3","6221"
"199033","occ","","","20554","Eptesicus fuscus","species","46252","","Eptesicus fuscus","species","52640","Irvingtonian","","1.8","0.3","6221"
"199260","occ","","","20572","Myotis austroriparius","species","48908","","Myotis austroriparius","species","52635","Late Pleistocene","","0.126","0.0117","3567"
"199283","occ","","","20573","Desmodus stocki","species","45613","","Desmodus stocki","species","45613","Late Pleistocene","","0.126","0.0117","3580"
"199284","occ","","","20573","Myotis austroriparius","species","48908","","Myotis austroriparius","species","52635","Late Pleistocene","","0.126","0.0117","3580"
"199285","occ","","","20573","Lasiurus intermedius","species","47494","","Lasiurus intermedius","species","47494","Late Pleistocene","","0.126","0.0117","3580"
"199442","occ","","","20595","Desmodus magnus","species","45612","subjective synonym of","Desmodus stocki","species","45613","Late Pleistocene","","0.126","0.0117","3567"
"199443","occ","","","20595","Pipistrellus subflavus","species","50360","","Pipistrellus subflavus","species","52648","Late Pleistocene","","0.126","0.0117","3567"
"199444","occ","","","20595","Lasiurus intermedius","species","47494","","Lasiurus intermedius","species","47494","Late Pleistocene","","0.126","0.0117","3567"
"199578","occ","","","20608","Myotis austroriparius","species","48908","","Myotis austroriparius","species","52635","Late Pleistocene","","0.126","0.0117","3567"
"199799","occ","","","20634","Myotis austroriparius","species","48908","","Myotis austroriparius","species","52635","Late Pleistocene","","0.126","0.0117","3567"
"199834","occ","","","20636","Mormoops megalophylla","species","40657","species not entered","Mormoops","genus","40657","Late Pleistocene","","0.126","0.0117","3567"
"212877","occ","","","21686","Eumops dabbenei","species","40694","species not entered","Eumops","genus","40694","Holocene","","0.0117","0","4785"
"212878","occ","","","21686","Eumops hansae","species","40694","species not entered","Eumops","genus","40694","Holocene","","0.0117","0","4785"
"212879","occ","","","21686","Molossops greenhalli","species","279373","species not entered","Molossops","genus","279373","Holocene","","0.0117","0","4785"
"212880","occ","","","21686","Molossus molossus","species","48788","species not entered","Molossus","genus","48788","Holocene","","0.0117","0","4785"
"212882","occ","","","21686","Artibeus jamaicensis","species","160956","","Artibeus jamaicensis","species","160956","Holocene","","0.0117","0","4785"
"212883","occ","","","21686","Carollia perspicillata","species","159133","species not entered","Carollia","genus","159133","Holocene","","0.0117","0","4785"
"212884","occ","","","21686","Desmodus rotundus","species","235348","","Desmodus rotundus","species","235347","Holocene","","0.0117","0","4785"
"212885","occ","","","21686","Glossophaga longirostris","species","103143","species not entered","Glossophaga","genus","103143","Holocene","","0.0117","0","4785"
"212886","occ","","","21686","Glossophaga soricina","species","103143","species not entered","Glossophaga","genus","103143","Holocene","","0.0117","0","4785"
"212887","occ","","","21686","Micronycteris nicefori","species","117402","species not entered","Micronycteris","genus","117402","Holocene","","0.0117","0","4785"
"212889","occ","","","21686","Phyllostomus discolor","species","103136","species not entered","Phyllostomus","genus","103136","Holocene","","0.0117","0","4785"
"212890","occ","","","21686","Phyllostomus hastatus","species","103136","species not entered","Phyllostomus","genus","103136","Holocene","","0.0117","0","4785"
"212892","occ","","","21686","Sturnira lilium","species","159135","species not entered","Sturnira","genus","159135","Holocene","","0.0117","0","4785"
