"Data Provider","The Paleobiology Database"
"Data Source","The Paleobiology Database"
"Data License","Creative Commons CC-BY"
"License URL","http://creativecommons.org/licenses/by/4.0/"
"Documentation URL","http://paleobiodb.org/data1.2/occs/list_doc.html"
"Data URL","http://paleobiodb.org/data1.2/occs/list.csv?datainfo&rowcount&base_name=strigiformes"
"Access Time","Thu 2017-02-16 07:22:05 GMT"
"Title","PBDB Data Service"
"Parameters:"
"","base_name","strigiformes"
"","timerule","major"
"","taxon_status","all"
"Elapsed Time","0.0142"
"Records Found","219"
"Records Returned","219"
"Records:"
"occurrence_no","record_type","reid_no","flags","collection_no","identified_name","identified_rank","identified_no","difference","accepted_name","accepted_rank","accepted_no","early_interval","late_interval","max_ma","min_ma","reference_no"
"1312072","occ","","","176091","Tyto alba","species","94500","","Tyto alba","species","94500","Rancholabrean","","0.3","0.012","57804"
"1312087","occ","","","176094","Tyto alba","species","94500","","Tyto alba","species","94500","Pleistocene","","2.588","0.0117","57804"
"1313172","occ","","","176222","Bubo virginianus","species","161527","","Bubo virginianus","species","161526","Pleistocene","","2.588","0.0117","57864"
"1313441","occ","","","93251","Bubo virginianus","species","161527","","Bubo virginianus","species","161526","Late Pleistocene","","0.126","0.0117","57924"
"1315120","occ","","","110076","n. gen. Grallistrix n. sp. auceps","species","336228","","Grallistrix auceps","species","336228","Holocene","","0.0117","0","57999"
"1315126","occ","","","89311","Grallistrix n. sp. orion","species","336229","","Grallistrix orion","species","336229","Late Pleistocene","","0.126","0.0117","57999"
"1315128","occ","","","110072","Grallistrix n. sp. geleches","species","336230","","Grallistrix geleches","species","336230","Late Pleistocene","","0.126","0.0117","57999"
"1315147","occ","","","176479","Grallistrix n. sp. erdmani","species","336231","","Grallistrix erdmani","species","336231","Holocene","","0.0117","0","57999"
"1318329","occ","","","177146","Bubo africanus","species","58496","species not entered","Bubo","genus","58496","Holocene","","0.0117","0","58527"
"1321171","occ","","","136172","Tyto alba","species","94500","","Tyto alba","species","94500","Late Pleistocene","Holocene","0.126","0","58701"
"1321224","occ","","","136430","Tyto alba","species","94500","","Tyto alba","species","94500","Pleistocene","","2.588","0.0117","58701"
"1321393","occ","","","136072","Tyto alba","species","94500","","Tyto alba","species","94500","Pleistocene","","2.588","0.0117","58806"
"1321394","occ","","","136072","Tyto novaehollandiae","species","39409","species not entered","Tyto","genus","39409","Pleistocene","","2.588","0.0117","58806"
"1349442","occ","","","182838","Sceloglaux albifacies","species","143819","","Sceloglaux albifacies","species","143818","Pleistocene","Holocene","2.588","0","60969"
"1350600","occ","","","183123","Bubo sp.","genus","58496","","Bubo","genus","58496","Pleistocene","","2.588","0.0117","61123"
"1350623","occ","","","183124","cf. Athene noctua","species","94499","species not entered","Athene","genus","94499","Late Pleistocene","","0.126","0.0117","61125"
"1352671","occ","","","20327","Athene cunicularia","species","94499","species not entered","Athene","genus","94499","Irvingtonian","","1.8","0.3","61249"
"1354218","occ","","","31748","cf. Prosybris antiqua","species","335047","","Prosybris antiqua","species","335047","Early Oligocene","","33.9","28.4","61354"
"1356898","occ","","","184245","Otus scops","species","39406","species not entered","Otus","genus","39406","Late Pleistocene","","0.126","0.0117","61580"
"1356899","occ","","","184245","Athene noctua","species","94499","species not entered","Athene","genus","94499","Late Pleistocene","","0.126","0.0117","61580"
"1356900","occ","","","184245","Strix aluco","species","39404","species not entered","Strix","genus","39404","Late Pleistocene","","0.126","0.0117","61580"
