"Data Provider","The Paleobiology Database"
"Data Source","The Paleobiology Database"
"Data License","Creative Commons CC-BY"
"License URL","http://creativecommons.org/licenses/by/4.0/"
"Documentation URL","http://paleobiodb.org/data1.2/occs/list_doc.html"
"Data URL","http://paleobiodb.org/data1.2/occs/list.csv?datainfo&rowcount&base_name=strigiformes"
"Access Time","Thu 2017-02-16 07:22:05 GMT"
"Title","PBDB Data Service"
"Parameters:"
"","base_name","strigiformes"
"","timerule","major"
"","taxon_status","all"
"Elapsed Time","0.0142"
"Records Found","219"
"Records Returned","219"
"Records:"
"occurrence_no","record_type","reid_no","flags","collection_no","identified_name","identified_rank","identified_no","difference","accepted_name","accepted_rank","accepted_no","early_interval","late_interval","max_ma","min_ma","reference_no"
"641098","occ","","","69062","Tyto alba","species","94500","","Tyto alba","species","94500","Middle Pleistocene","","0.781","0.126","19913"
"665502","occ","","","16692","Protostrix n. sp. californiensis","species","99554","","Protostrix californiensis","species","99554","Early Uintan","","46.2","40.4","24231"
"665538","occ","","","71670","Tyto alba","species","94500","","Tyto alba","species","94500","Late Pleistocene","","0.126","0.0117","24234"
"665539","occ","","","71670","Bubo virginianus","species","161527","","Bubo virginianus","species","161526","Late Pleistocene","","0.126","0.0117","24234"
"665540","occ","","","71670","Asio flammeus ?","species","161530","","Asio flammeus","species","161529","Late Pleistocene","","0.126","0.0117","24234"
"665541","occ","","","71670","Speotyto cunicularia","species","289512","","Speotyto cunicularia","species","289512","Late Pleistocene","","0.126","0.0117","24234"
"690693","occ","","","20636","Strix varia","species","133784","","Strix varia","species","133784","Late Pleistocene","","0.126","0.0117","24950"
"690698","occ","","","74295","Eostrix n. sp. martinellii","species","105109","","Eostrix martinellii","species","105109","Lysitean","","55.8","50.3","24951"
"692509","occ","","","16228","Protostrix leptosteus","species","105713","","Protostrix leptosteus","species","105712","Bridgerian","","50.3","46.2","25101"
"692527","occ","27964","","74643","Berruornis n. sp. halbedeli","species","105815","","Berruornis halbedeli","species","105815","Selandian","","61.6","59.2","25122"
"709911","occ","","","76059","cf. Otus sp.","genus","39406","","Otus","genus","39406","Late Pleistocene","","0.126","0.0117","25748"
"709912","occ","","","76059","Bubo virginianus","species","161527","","Bubo virginianus","species","161526","Late Pleistocene","","0.126","0.0117","25748"
"709988","occ","","","76060","Strix cf. occidentalis","species","39404","species not entered","Strix","genus","39404","Late Pleistocene","","0.126","0.0117","25748"
"713745","occ","","","50943","Asio pigmaea","species","161528","species not entered","Asio","genus","161528","MN 15","MN 16","4.2","2.588","24838"
"740026","occ","","","79548","Asio flammeus","species","161530","","Asio flammeus","species","161529","Late Pleistocene","","0.126","0.0117","26697"
"740528","occ","","","79630","Bubo virginianus","species","161527","","Bubo virginianus","species","161526","Pleistocene","","2.588","0.0117","26738"
"773221","occ","","","82890","Strix varia","species","133784","","Strix varia","species","133784","Late Pleistocene","","0.126","0.0117","27864"
"773222","occ","","","82890","Aegolius funereus","species","130717","species not entered","Aegolius","genus","130717","Late Pleistocene","","0.126","0.0117","27864"
"773223","occ","","","82890","Aegolius acadicus","species","289538","","Aegolius acadicus","species","289538","Late Pleistocene","","0.126","0.0117","27864"
"773224","occ","","","82890","Surnia ulula","species","130718","species not entered","Surnia","genus","130718","Late Pleistocene","","0.126","0.0117","27864"
"781737","occ","","","84181","Otus asio","species","133783","","Otus asio","species","133782","Late Pleistocene","","0.126","0.0117","28198"
"781738","occ","","","84181","Strix cf. varia","species","133784","","Strix varia","species","133784","Late Pleistocene","","0.126","0.0117","28198"
"804808","occ","","","87814","Sceloglaux albifacies","species","143819","","Sceloglaux albifacies","species","143818","Late Pleistocene","","0.126","0.0117","29521"
"826625","occ","","","14967","n. gen. Ogygoptynx n. sp. wetmorei","species","153540","","Ogygoptynx wetmorei","species","153540","Tiffanian","","61.7","56.8","30666"
"835157","occ","","","92733","Tyto alba","species","94500","","Tyto alba","species","94500","Holocene","","0.0117","0","31261"
