"identified_name","early_interval"
"Otus asio","Late Pleistocene"
"Tyto pollens","Pleistocene"
"Tyto alba","Pleistocene"
"Glaucidium n. sp. dickinsoni","Pleistocene"
"Otus n. sp. providentiae","Pleistocene"
"Strix n. sp. dakota","Hemingfordian"
"Tyto alba","Late Pleistocene"
"Otus asio","Late Pleistocene"
"Speotyto cunicularia","Late Pleistocene"
"Asio flammeus","Late Pleistocene"
"Bubo n. sp. sinclairi","Late Pleistocene"
"Otus asio","Late Pleistocene"
"Bubo virginianus","Late Pleistocene"
"Bubo sinclairi","Late Pleistocene"
"Asio wilsonianus","Late Pleistocene"
"Glaucidium gnoma","Late Pleistocene"
"Strix aff. brevis","MN 9"
"Athene sp.","MN 9"
"Aegolius martae","Middle Pleistocene"
"Aegolius n. sp. martae","Middle Pleistocene"
"Tyto n. sp. mourerchauvireae","Middle Pleistocene"
"Strigidae indet.","Late Miocene"
"Tyto alba","Late Pleistocene"
"Tyto alba","Late Pleistocene"
"Asio priscus","Late Pleistocene"
"Asio priscus","Late Pleistocene"
"Tyto alba","Pleistocene"
"Athene cunicularia","Pleistocene"
"Tyto alba","Rancholabrean"
"Tyto alba","Pleistocene"
"Bubo virginianus","Pleistocene"
"Bubo virginianus","Late Pleistocene"
"n. gen. Grallistrix n. sp. auceps","Holocene"
"Grallistrix n. sp. orion","Late Pleistocene"
"Grallistrix n. sp. geleches","Late Pleistocene"
"Grallistrix n. sp. erdmani","Holocene"
"Bubo africanus","Holocene"
"Tyto alba","Late Pleistocene"
"Tyto alba","Pleistocene"
"Tyto alba","Pleistocene"
"Tyto novaehollandiae","Pleistocene"
"Sceloglaux albifacies","Pleistocene"
"Bubo sp.","Pleistocene"
"cf. Athene noctua","Late Pleistocene"
"Athene cunicularia","Irvingtonian"
"cf. Prosybris antiqua","Early Oligocene"
"Otus scops","Late Pleistocene"
"Athene noctua","Late Pleistocene"
"Strix aluco","Late Pleistocene"
