199442,occ,,,20595,Desmodus stocki,species,45613,Late Pleistocene,,0.126,0.0117,3567,n
199443,occ,,,20595,Pipistrellus subflavus,species,52648,Late Pleistocene,,0.126,0.0117,3567,YES
199444,occ,,,20595,Lasiurus intermedius,species,47494,Late Pleistocene,,0.126,0.0117,3567,YES
199578,occ,,,20608,Myotis austroriparius,species,52635,Late Pleistocene,,0.126,0.0117,3567,YES
199799,occ,,,20634,Myotis austroriparius,species,52635,Late Pleistocene,,0.126,0.0117,3567,YES
212882,occ,,,21686,Artibeus jamaicensis,species,160956,Holocene,,0.0117,0,4785,YES
212884,occ,,,21686,Desmodus rotundus,species,235347,Holocene,,0.0117,0,4785,YES
212894,occ,,,21686,Trachops cirrhosus,species,117399,Holocene,,0.0117,0,4785,YES
212903,occ,,,21686,Noctilio leporinus,species,104144,Holocene,,0.0117,0,4785,YES
212904,occ,,,21686,Noctilio albiventris,species,269558,Holocene,,0.0117,0,4785,YES
212915,occ,,,21686,Eumops glaucinus,species,45958,Holocene,,0.0117,0,4785,YES
212927,occ,,,21686,Lasiurus borealis,species,52636,Holocene,,0.0117,0,4785,YES
232547,occ,,,18597,Karstala silva,species,83781,Hemingfordian,,20.43,15.97,6736,n
343559,occ,10306,,32240,Rhinolophus delphinensis,species,91951,MN 14,,4.9,4.2,8683,n
343561,occ,,,32240,Plecotus crassidens,species,53414,MN 14,,4.9,4.2,8865,n
344815,occ,,,32485,Rhinolophus ferrumequinum,species,236716,MN 17,,2.588,1.806,8762,YES
351236,occ,,,33396,Rhinolophus delphinensis,species,91951,MN 15,,4.2,3.2,8869,n
351237,occ,,,33396,Rhinolophus grivensis,species,91931,MN 15,,4.2,3.2,8869,n
351238,occ,,,33396,Plecotus crassidens,species,53414,MN 15,,4.2,3.2,8869,n
351243,occ,,,33396,Myotis helleri,species,54029,MN 15,,4.2,3.2,8869,n
358958,occ,,,32240,Rhinolophus grivensis,species,91931,MN 14,,4.9,4.2,8683,n
360298,occ,,,34127,Plecotus auritus,species,104145,Pleistocene,,2.588,0.0117,8650,YES
360355,occ,,,34128,Rhinolophus ferrumequinum,species,236716,Pleistocene,,2.588,0.0117,8987,YES
360356,occ,,,34128,Rhinolophus euryale,species,94476,Pleistocene,,2.588,0.0117,8987,YES
369034,occ,,,34911,Rhinolophus euryale,species,94476,Early Pleistocene,,2.588,0.781,9372,YES
370321,occ,,,26752,Myotis boyeri,species,91942,Late Miocene,,11.608,5.333,9426,n
370323,occ,,,26752,Miniopterus fossilis,species,92013,Late Miocene,,11.608,5.333,9426,n
370464,occ,,,35076,Rhinolophus ferrumequinum,species,236716,Pliocene,Pleistocene,5.333,0.0117,9424,YES
374140,occ,,,35369,Eptesicus praeglacialis,species,99166,Villanyian,,3.2,2.588,9534,n
374141,occ,,,35369,Rhinolophus ferrumequinum,species,236716,Villanyian,,3.2,2.588,9534,YES
374197,occ,,,35370,Rhinolophus ferrumequinum,species,236716,Villanyian,,3.2,2.588,9534,YES
374198,occ,,,35370,Rhinolophus euryale,species,94476,Villanyian,,3.2,2.588,9534,YES
374242,occ,,,35371,Rhinolophus ferrumequinum,species,236716,Villanyian,,3.2,2.588,9534,YES
375965,occ,,,35472,Rhinolophus ferrumequinum,species,236716,Middle Pleistocene,,0.781,0.126,9534,YES
375974,occ,,,35472,Plecotus auritus,species,104145,Middle Pleistocene,,0.781,0.126,9534,YES
376062,occ,,,35476,Rhinolophus ferrumequinum,species,236716,Middle Pleistocene,,0.781,0.126,9534,YES
376077,occ,,,35476,Plecotus auritus,species,104145,Middle Pleistocene,,0.781,0.126,9534,YES
377031,occ,,,18597,Primonatalus prattae,species,56186,Hemingfordian,,20.43,15.97,9610,n
379646,occ,,,35907,Plecotus auritus,species,104145,Early Pleistocene,Middle Pleistocene,2.588,0.126,9643,YES
383637,occ,,,36452,Myotis myotis,species,109090,Pleistocene,,2.588,0.0117,9767,YES
383641,occ,,,36517,Myotis myotis,species,109090,Pleistocene,,2.588,0.0117,9767,YES
387080,occ,,,36974,Rhinolophus grivensis,species,91931,Pleistocene,,2.588,0.0117,9885,n
387605,occ,,,37050,Rhinolophus grivensis,species,91931,Burdigalian,,20.44,15.97,9929,n
387607,occ,,,37050,Hipposideros (Brachipposideros) dechaseauxi,species,92092,Burdigalian,,20.44,15.97,9929,n
387608,occ,,,37050,Hipposideros (Pseudorhinolophus) bouziguensis,species,92094,Burdigalian,,20.44,15.97,9929,n
387609,occ,,,37050,Asellia mariaetheresae,species,92042,Burdigalian,,20.44,15.97,9929,n
393077,occ,,,37809,Icaronycteris index,species,56929,Wasatchian,,55.8,50.3,10080,n
396908,occ,,,38137,Eptesicus campanensis,species,56998,MN 6,,13.65,12.75,10239,n
398216,occ,,,13066,Myotis lucifugus,species,52644,Pleistocene,,2.588,0.0117,10274,YES
398217,occ,,,13066,Myotis grisescens,species,119647,Pleistocene,,2.588,0.0117,10274,YES
398218,occ,,,13066,Pipistrellus subflavus,species,52648,Pleistocene,,2.588,0.0117,10274,YES
398219,occ,,,13066,Eptesicus fuscus,species,52640,Pleistocene,,2.588,0.0117,10274,YES
411480,occ,,,39797,Rhinolophus ferrumequinum,species,236716,Early Pleistocene,,2.588,0.781,10779,YES
411500,occ,,,39797,Rhinolophus euryale,species,94476,Early Pleistocene,,2.588,0.781,10779,YES
413493,occ,,,38868,Eppsinycteris anglica,species,57564,Ypresian,,56,47.8,10844,n
420005,occ,,,40808,Rhinolophus ferrumequinum,species,236716,Middle Pleistocene,,0.781,0.126,11028,YES
421621,occ,,,40995,Rhinolophus euryale,species,94476,Early Pleistocene,,2.588,0.781,11570,YES
421631,occ,,,40997,Rhinolophus euryale,species,94476,Early Pleistocene,,2.588,0.781,11051,YES
421643,occ,,,40998,Rhinolophus euryale,species,94476,Early Pleistocene,,2.588,0.781,11051,YES
421658,occ,,,41000,Rhinolophus euryale,species,94476,Early Pleistocene,,2.588,0.781,11051,YES
421670,occ,,,41001,Rhinolophus euryale,species,94476,Early Pleistocene,,2.588,0.781,11051,YES
442581,occ,,,43619,Rhinolophus ferrumequinum,species,236716,Late Pleistocene,,0.126,0.0117,11457,YES
442583,occ,,,43619,Myotis myotis,species,109090,Late Pleistocene,,0.126,0.0117,11457,YES
442587,occ,,,43619,Vespertilio murinus,species,104146,Late Pleistocene,,0.126,0.0117,11457,YES
442652,occ,,,43629,Myotis myotis,species,109090,Late Pleistocene,,0.126,0.0117,11457,YES
442696,occ,,,43631,Myotis myotis,species,109090,Late Pleistocene,,0.126,0.0117,11457,YES
455784,occ,,,12840,Vespertiliavus gracilis,species,348690,Bartonian,,41.3,38,11650,n
455788,occ,,,12840,Palaeophyllophora quercyi,species,348691,Bartonian,,41.3,38,11650,n
455789,occ,,,12840,Hipposideros schlosseri,species,255161,Bartonian,,41.3,38,11650,n
455796,occ,,,12840,Hipposideros schlosseri,species,255161,Bartonian,,41.3,38,11650,n
456664,occ,,,13322,Cecilionycteris prisca,species,135929,Lutetian,,47.8,41.3,11714,n
466575,occ,,,46263,Myotis murinoides,species,92031,MN 7 + 8,,12.75,11.1,12335,n
472507,occ,,,46955,Rhinolophus delphinensis,species,91951,MN 5,,15.97,13.65,12472,n
472508,occ,,,46955,Eptesicus campanensis,species,56998,MN 5,,15.97,13.65,12472,n
474182,occ,,,12841,Hipposideros morloti,species,348692,Priabonian,,38,33.9,7272,n
474183,occ,,,12841,Hipposideros schlosseri,species,255161,Priabonian,,38,33.9,7272,n
474220,occ,,,12843,Hipposideros morloti,species,348692,Priabonian,,38,33.9,7272,n
474221,occ,,,12843,Hipposideros schlosseri,species,255161,Priabonian,,38,33.9,7272,n
