,,34128,Rhinolophus ferrumequinum,species,236716,Pleistocene,,2.588,0.0117,8987,YES,LC,,3.1,2016,decreasing,N
,,34128,Rhinolophus euryale,species,94476,Pleistocene,,2.588,0.0117,8987,YES,NT,,3.1,2016,decreasing,N
,,34911,Rhinolophus euryale,species,94476,Early Pleistocene,,2.588,0.781,9372,YES,NT,,3.1,2016,decreasing,N
,,35076,Rhinolophus ferrumequinum,species,236716,Pliocene,Pleistocene,5.333,0.0117,9424,YES,LC,,3.1,2016,decreasing,N
,,35369,Rhinolophus ferrumequinum,species,236716,Villanyian,,3.2,2.588,9534,YES,LC,,3.1,2016,decreasing,N
,,35370,Rhinolophus ferrumequinum,species,236716,Villanyian,,3.2,2.588,9534,YES,LC,,3.1,2016,decreasing,N
,,35370,Rhinolophus euryale,species,94476,Villanyian,,3.2,2.588,9534,YES,NT,,3.1,2016,decreasing,N
,,35371,Rhinolophus ferrumequinum,species,236716,Villanyian,,3.2,2.588,9534,YES,LC,,3.1,2016,decreasing,N
,,35472,Rhinolophus ferrumequinum,species,236716,Middle Pleistocene,,0.781,0.126,9534,YES,LC,,3.1,2016,decreasing,N
,,35472,Plecotus auritus,species,104145,Middle Pleistocene,,0.781,0.126,9534,YES,LC,,3.1,2008,stable,N
,,35476,Rhinolophus ferrumequinum,species,236716,Middle Pleistocene,,0.781,0.126,9534,YES,LC,,3.1,2016,decreasing,N
,,35476,Plecotus auritus,species,104145,Middle Pleistocene,,0.781,0.126,9534,YES,LC,,3.1,2008,stable,N
,,35907,Plecotus auritus,species,104145,Early Pleistocene,Middle Pleistocene,2.588,0.126,9643,YES,LC,,3.1,2008,stable,N
,,36452,Myotis myotis,species,109090,Pleistocene,,2.588,0.0117,9767,YES,LC,,3.1,2016,stable,N
,,36517,Myotis myotis,species,109090,Pleistocene,,2.588,0.0117,9767,YES,LC,,3.1,2016,stable,N
,,13066,Myotis lucifugus,species,52644,Pleistocene,,2.588,0.0117,10274,YES,LC,,3.1,2008,stable,N
,,13066,Myotis grisescens,species,119647,Pleistocene,,2.588,0.0117,10274,YES,NT,,3.1,2008,increasing,N
,,13066,Pipistrellus subflavus,species,52648,Pleistocene,,2.588,0.0117,10274,YES,LC,,3.1,2008,stable,N
,,13066,Eptesicus fuscus,species,52640,Pleistocene,,2.588,0.0117,10274,YES,LC,,3.1,2016,increasing,N
,,39797,Rhinolophus ferrumequinum,species,236716,Early Pleistocene,,2.588,0.781,10779,YES,LC,,3.1,2016,decreasing,N
,,39797,Rhinolophus euryale,species,94476,Early Pleistocene,,2.588,0.781,10779,YES,NT,,3.1,2016,decreasing,N
,,40808,Rhinolophus ferrumequinum,species,236716,Middle Pleistocene,,0.781,0.126,11028,YES,LC,,3.1,2016,decreasing,N
,,40995,Rhinolophus euryale,species,94476,Early Pleistocene,,2.588,0.781,11570,YES,NT,,3.1,2016,decreasing,N
,,40997,Rhinolophus euryale,species,94476,Early Pleistocene,,2.588,0.781,11051,YES,NT,,3.1,2016,decreasing,N
,,40998,Rhinolophus euryale,species,94476,Early Pleistocene,,2.588,0.781,11051,YES,NT,,3.1,2016,decreasing,N
,,41000,Rhinolophus euryale,species,94476,Early Pleistocene,,2.588,0.781,11051,YES,NT,,3.1,2016,decreasing,N
,,41001,Rhinolophus euryale,species,94476,Early Pleistocene,,2.588,0.781,11051,YES,NT,,3.1,2016,decreasing,N
,,43619,Rhinolophus ferrumequinum,species,236716,Late Pleistocene,,0.126,0.0117,11457,YES,LC,,3.1,2016,decreasing,N
,,43619,Myotis myotis,species,109090,Late Pleistocene,,0.126,0.0117,11457,YES,LC,,3.1,2016,stable,N
,,43619,Vespertilio murinus,species,104146,Late Pleistocene,,0.126,0.0117,11457,YES,LC,,3.1,2016,stable,N
,,43629,Myotis myotis,species,109090,Late Pleistocene,,0.126,0.0117,11457,YES,LC,,3.1,2016,stable,N
,,43631,Myotis myotis,species,109090,Late Pleistocene,,0.126,0.0117,11457,YES,LC,,3.1,2016,stable,N
,,50258,Vespertilio murinus,species,104146,Middle Pleistocene,,0.781,0.126,9643,YES,LC,,3.1,2016,stable,N
